Date,Close,High,Low,Open,Volume
2014.9.17,473203.5,483811.0313,468121.0313,482611.8125,21787470960
2014.9.18,442818.25,476276.5313,430991.4063,472713.0313,35976322560
2014.9.19,411989.3438,447515.4063,401278.375,442466.6563,39571102935
2014.9.20,426711.75,441730.5313,406862.4063,411861,38469009780
2014.9.21,416189.6563,430387.1563,410304.0313,425857.0938,27737663355
2014.9.22,418238.0938,423497.8125,413571.1875,416480.8125,25092704000
2014.9.23,453179.0313,459175.125,411846.7813,418175.6875,46898970050
2014.9.24,440035.8438,453774.5313,437829.875,453137.4688,31845763629
2014.9.25,429395.1563,441731.3438,427197.9375,439984.9063,27975463520
2014.9.26,422260.125,432116.4063,417549.4063,429243.875,22407221280
2014.9.27,417138.8125,424555.0625,414896.125,421352.8125,15692092130
2014.9.28,393814.6875,418701.8438,390840.0313,417087.6875,24654646530
2014.9.29,395423.0938,405684.9688,392192.0625,393550.5313,34224952755
2014.9.30,408051.7813,412304.7813,394206.4375,396077.0938,36600583215
2014.10.1,407667.6563,416231.5625,404654.9063,408561.1563,27873983380
2014.10.2,397988.875,408472.625,395733.0313,408064.0625,23108317470
2014.10.3,381478.1875,400772.1875,379724.1875,398104.5625,32789263320
2014.10.4,348959.7188,386757.1563,345797.625,381881.4063,50122650150
2014.10.5,340093.1563,362685.0313,306971.9688,349012.75,88398220666
2014.10.6,352771.9375,368861.9688,323497.1563,339964.7813,84443861250
2014.10.7,359518.375,361908.7188,342963.8125,353311.6563,52614373060
2014.10.8,379198.75,380728.6875,351203.5938,359442.4375,58808680720
2014.10.9,387876.625,406684.6563,373554.9375,378992.4375,88877037110
2014.10.10,387992.1875,401696.75,378365.75,387516.4063,46857662670
2014.10.11,388783.0625,394032.6875,381971,387777.5625,14320734120
2014.10.12,406220.9375,407169.5625,382178.125,389112.5,18835909680
2014.10.13,416001.75,423482.6563,393723.7813,405547,37529810556
2014.10.14,426966.625,438211.3438,416368.75,417363.4688,40997296650
2014.10.15,418597.5625,429296.875,411423.2813,427057.1563,26791969485
2014.10.16,405509.375,422165.125,395491.5,418327.1563,28609400000
2014.10.17,407428.1875,409254.2813,398843.3125,405721.375,14439591176
2014.10.18,415586.125,419531.3438,402345.9375,407659.6563,12120988224
2014.10.19,413931.5625,418237.1563,410293.6563,415386.5313,6284822082
2014.10.20,403947.4063,414019.5625,400584,413596.8438,17324015280
2014.10.21,407460.5938,413954.9063,401970.3125,403500.0313,14959357270
2014.10.22,403158.8438,409831.0938,401739.875,407084.2188,12248975860
2014.10.23,379563.5938,406425.875,377655.5938,402952.625,28017857100
2014.10.24,378591.5,384537,373450.4375,379747.875,16466292050
2014.10.25,366891.8125,380193.125,362249.5625,378872.5,19151703750
2014.10.26,374478.75,379517,363363.0938,367120,11900941875
2014.10.27,370818.5,377072.8438,367831.1563,374555.8125,13691296830
2014.10.28,374508.3125,377896.8125,370312.9375,371055.875,8216440912
2014.10.29,353629.0313,374432.875,352914.9688,373954.3125,19170557625
2014.10.30,364117.2188,369795.625,353604.8125,353753.375,31821991992
2014.10.31,363099.6563,367100.4688,361814.0625,363805.0938,13464225096
2014.11.1,349606.8438,365469.3438,344569.0625,363452.7188,17898638128
2014.11.2,349809.2188,353149.5938,344108.6563,349956.75,9235039672
2014.11.3,354338.0625,358941.9375,349742.3438,349462.5,14007298845
2014.11.4,356386.0625,357591.75,350244.4688,353912.9688,16882108425
2014.11.5,369666.3125,374093.6563,355808.3125,356592.0313,21578949080
2014.11.6,380726.0938,384732.9375,368262.8438,369635.8125,20488730000
2014.11.7,371955.1563,385536.0625,371339.625,381301.625,18286486434
2014.11.8,375293.25,376970.4688,371671.625,371671.625,9271824997
2014.11.9,394693.625,395134.1875,373953.875,375171.5938,26299868512
2014.11.10,399183.9688,408197.125,388060.9688,393608.1875,33127272792
2014.11.11,402534.0938,405938.375,398344.375,398023.1563,17339635775
2014.11.12,463265.625,470145.8438,403053.9688,402851.5625,50074917168
2014.11.13,460927.8125,501705.25,439317.9063,467325.5938,64576015850
2014.11.14,437910.0938,461303,423164,458388.375,32571199576
2014.11.15,414039.6875,446397.125,408398.1875,439926.7188,17312517450
2014.11.16,426511.1563,430183.75,412354.375,412495.3125,13091278704
2014.11.17,426257.25,449085.875,415089.875,427024.6875,45682305264
2014.11.18,412886.625,431524.5,407193.2813,426672.0938,35459250125
2014.11.19,423732.75,427884.6875,411771.6563,411453.8438,21079802028
2014.11.20,397932.375,424811.7813,396465.75,423456.625,28060327728
2014.11.21,389655.2813,397567.7813,383024.1875,397975.75,33151819561
2014.11.22,391956.5,405196.0625,389688.5938,390494.9375,16962346530
2014.11.23,408421.375,412253.5625,392239.6875,392239.6875,16835397308
2014.11.24,419502.125,431002.3438,407655.2813,407726.9375,34426129203
2014.11.25,416062,438639.0938,415699.1563,419485.4063,28201915434
2014.11.26,406312.0938,418262.75,403451.1563,416805.7813,20517675100
2014.11.27,406378.25,411578.1875,404800.8438,408663.7188,9616709379
2014.11.28,418827.4063,425937.9063,397049.8438,406052.8438,25529816970
2014.11.29,417763.7813,431237.125,414041.0625,418499.1875,17106585048
2014.11.30,420524.3438,425591.9063,415336.125,417784.9375,10227527278
2014.12.1,420487.875,427031.125,420475.625,420749.0625,13042226250
2014.12.2,425097.5938,425990.3125,418634.4375,420493.4375,13783745962
2014.12.3,418286.1563,426346.25,415793.5938,425551.3125,14879547540
2014.12.4,410681.7813,422541.125,408661.1563,419075.8438,16144419744
2014.12.5,422340.2813,424907.375,406391.5,410501.7813,17014243260
2014.12.6,420021.5625,424126.6563,415718.0625,422231.5625,7855344924
2014.12.7,420425.2188,421710.4375,418329.2813,420078.7188,7276165903
2014.12.8,402348.7188,420362.8125,402308.6563,420279.5313,21010440738
2014.12.9,388497.5625,404275.0938,380884.5313,402333.125,36305796500
2014.12.10,381223.1563,389384.3125,381223.1563,388482.0938,18080983728
2014.12.11,386019.2813,397131.3438,372097.2813,378994.375,35717239316
2014.12.12,389072.4063,389354.375,384855.7813,386379.4063,18750283076
2014.12.13,383371.0938,388894.7188,382501.4688,388894.7188,12885756758
2014.12.14,387930.9688,389566.2188,381210.2188,382654.8438,13696821096
2014.12.15,379219.9063,386961.3125,378744.4063,387632,18957645378
2014.12.16,353230.25,379787.7813,353230.25,379580.0625,33334400649
2014.12.17,351405.0313,362507.0625,345157.625,353006.6875,41283740989
2014.12.18,341894.125,356824.4375,334706.9063,351414.9375,43009603620
2014.12.19,349344.4063,350102.7813,337998.0938,341655.8438,26184207441
2014.12.20,362657.9375,363063.5313,347367.125,349098.2188,22923807537
2014.12.21,352766.875,362298.5313,350509.5,362204,16720756200
2014.12.22,364799.125,365888.1875,350897.4063,353014.25,24528088467
2014.12.23,370183.8438,371889.6875,361804.0938,364943.125,18338357848
2014.12.24,355848.5313,370086.3125,354504.9688,369976.9375,16651183667
2014.12.25,351467.0625,355943.75,349002.4688,355574.9375,10889300370
