Price,Close,High,Low,Open,Volume
Ticker,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW
Date,,,,,
2014-09-17,473203.5,483811.03125,468121.03125,482611.8125,21787470960
2014-09-18,442818.25,476276.53125,430991.40625,472713.03125,35976322560
2014-09-19,411989.34375,447515.40625,401278.375,442466.65625,39571102935
2014-09-20,426711.75,441730.53125,406862.40625,411861.0,38469009780
2014-09-21,416189.65625,430387.15625,410304.03125,425857.09375,27737663355
2014-09-22,418238.09375,423497.8125,413571.1875,416480.8125,25092704000
2014-09-23,453179.03125,459175.125,411846.78125,418175.6875,46898970050
2014-09-24,440035.84375,453774.53125,437829.875,453137.46875,31845763629
2014-09-25,429395.15625,441731.34375,427197.9375,439984.90625,27975463520
2014-09-26,422260.125,432116.40625,417549.40625,429243.875,22407221280
2014-09-27,417138.8125,424555.0625,414896.125,421352.8125,15692092130
2014-09-28,393814.6875,418701.84375,390840.03125,417087.6875,24654646530
2014-09-29,395423.09375,405684.96875,392192.0625,393550.53125,34224952755
2014-09-30,408051.78125,412304.78125,394206.4375,396077.09375,36600583215
2014-10-01,407667.65625,416231.5625,404654.90625,408561.15625,27873983380
2014-10-02,397988.875,408472.625,395733.03125,408064.0625,23108317470
2014-10-03,381478.1875,400772.1875,379724.1875,398104.5625,32789263320
2014-10-04,348959.71875,386757.15625,345797.625,381881.40625,50122650150
2014-10-05,340093.15625,362685.03125,306971.96875,349012.75,88398220666
2014-10-06,352771.9375,368861.96875,323497.15625,339964.78125,84443861250
2014-10-07,359518.375,361908.71875,342963.8125,353311.65625,52614373060
2014-10-08,379198.75,380728.6875,351203.59375,359442.4375,58808680720
2014-10-09,387876.625,406684.65625,373554.9375,378992.4375,88877037110
2014-10-10,387992.1875,401696.75,378365.75,387516.40625,46857662670
2014-10-11,388783.0625,394032.6875,381971.0,387777.5625,14320734120
2014-10-12,406220.9375,407169.5625,382178.125,389112.5,18835909680
2014-10-13,416001.75,423482.65625,393723.78125,405547.0,37529810556
2014-10-14,426966.625,438211.34375,416368.75,417363.46875,40997296650
2014-10-15,418597.5625,429296.875,411423.28125,427057.15625,26791969485
2014-10-16,405509.375,422165.125,395491.5,418327.15625,28609400000
2014-10-17,407428.1875,409254.28125,398843.3125,405721.375,14439591176
2014-10-18,415586.125,419531.34375,402345.9375,407659.65625,12120988224
2014-10-19,413931.5625,418237.15625,410293.65625,415386.53125,6284822082
2014-10-20,403947.40625,414019.5625,400584.0,413596.84375,17324015280
2014-10-21,407460.59375,413954.90625,401970.3125,403500.03125,14959357270
2014-10-22,403158.84375,409831.09375,401739.875,407084.21875,12248975860
2014-10-23,379563.59375,406425.875,377655.59375,402952.625,28017857100
2014-10-24,378591.5,384537.0,373450.4375,379747.875,16466292050
2014-10-25,366891.8125,380193.125,362249.5625,378872.5,19151703750
2014-10-26,374478.75,379517.0,363363.09375,367120.0,11900941875
2014-10-27,370818.5,377072.84375,367831.15625,374555.8125,13691296830
2014-10-28,374508.3125,377896.8125,370312.9375,371055.875,8216440912
2014-10-29,353629.03125,374432.875,352914.96875,373954.3125,19170557625
2014-10-30,364117.21875,369795.625,353604.8125,353753.375,31821991992
2014-10-31,363099.65625,367100.46875,361814.0625,363805.09375,13464225096
2014-11-01,349606.84375,365469.34375,344569.0625,363452.71875,17898638128
2014-11-02,349809.21875,353149.59375,344108.65625,349956.75,9235039672
2014-11-03,354338.0625,358941.9375,349742.34375,349462.5,14007298845
2014-11-04,356386.0625,357591.75,350244.46875,353912.96875,16882108425
2014-11-05,369666.3125,374093.65625,355808.3125,356592.03125,21578949080
2014-11-06,380726.09375,384732.9375,368262.84375,369635.8125,20488730000
2014-11-07,371955.15625,385536.0625,371339.625,381301.625,18286486434
2014-11-08,375293.25,376970.46875,371671.625,371671.625,9271824997
2014-11-09,394693.625,395134.1875,373953.875,375171.59375,26299868512
2014-11-10,399183.96875,408197.125,388060.96875,393608.1875,33127272792
2014-11-11,402534.09375,405938.375,398344.375,398023.15625,17339635775
2014-11-12,463265.625,470145.84375,403053.96875,402851.5625,50074917168
2014-11-13,460927.8125,501705.25,439317.90625,467325.59375,64576015850
2014-11-14,437910.09375,461303.0,423164.0,458388.375,32571199576
2014-11-15,414039.6875,446397.125,408398.1875,439926.71875,17312517450
2014-11-16,426511.15625,430183.75,412354.375,412495.3125,13091278704
2014-11-17,426257.25,449085.875,415089.875,427024.6875,45682305264
2014-11-18,412886.625,431524.5,407193.28125,426672.09375,35459250125
2014-11-19,423732.75,427884.6875,411771.65625,411453.84375,21079802028
2014-11-20,397932.375,424811.78125,396465.75,423456.625,28060327728
2014-11-21,389655.28125,397567.78125,383024.1875,397975.75,33151819561
2014-11-22,391956.5,405196.0625,389688.59375,390494.9375,16962346530
2014-11-23,408421.375,412253.5625,392239.6875,392239.6875,16835397308
2014-11-24,419502.125,431002.34375,407655.28125,407726.9375,34426129203
2014-11-25,416062.0,438639.09375,415699.15625,419485.40625,28201915434
2014-11-26,406312.09375,418262.75,403451.15625,416805.78125,20517675100
2014-11-27,406378.25,411578.1875,404800.84375,408663.71875,9616709379
2014-11-28,418827.40625,425937.90625,397049.84375,406052.84375,25529816970
2014-11-29,417763.78125,431237.125,414041.0625,418499.1875,17106585048
2014-11-30,420524.34375,425591.90625,415336.125,417784.9375,10227527278
2014-12-01,420487.875,427031.125,420475.625,420749.0625,13042226250
2014-12-02,425097.59375,425990.3125,418634.4375,420493.4375,13783745962
2014-12-03,418286.15625,426346.25,415793.59375,425551.3125,14879547540
2014-12-04,410681.78125,422541.125,408661.15625,419075.84375,16144419744
2014-12-05,422340.28125,424907.375,406391.5,410501.78125,17014243260
2014-12-06,420021.5625,424126.65625,415718.0625,422231.5625,7855344924
2014-12-07,420425.21875,421710.4375,418329.28125,420078.71875,7276165903
2014-12-08,402348.71875,420362.8125,402308.65625,420279.53125,21010440738
2014-12-09,388497.5625,404275.09375,380884.53125,402333.125,36305796500
2014-12-10,381223.15625,389384.3125,381223.15625,388482.09375,18080983728
2014-12-11,386019.28125,397131.34375,372097.28125,378994.375,35717239316
2014-12-12,389072.40625,389354.375,384855.78125,386379.40625,18750283076
